iter	Passed	Remaining
0	2	2910
1	7	3557
2	11	3938
3	16	4055
4	20	4076
5	25	4160
6	29	4135
7	33	4112
8	37	4130
9	43	4306
10	47	4315
11	52	4312
12	57	4353
13	62	4380
14	67	4422
15	72	4454
16	77	4457
17	81	4435
18	85	4418
19	91	4460
20	95	4447
21	99	4430
22	104	4434
23	109	4435
24	113	4407
25	117	4411
26	123	4462
27	127	4443
28	131	4415
29	136	4429
30	141	4412
31	145	4403
32	149	4392
33	154	4394
34	157	4353
35	161	4317
36	164	4280
37	168	4264
38	172	4241
39	175	4206
40	178	4176
41	181	4145
42	185	4138
43	189	4111
44	192	4084
45	195	4059
46	199	4049
47	203	4032
48	206	4011
49	210	3994
50	213	3978
51	218	3978
52	221	3957
53	224	3936
54	228	3918
55	231	3908
56	235	3897
57	238	3878
58	242	3861
59	245	3849
60	251	3875
61	255	3858
62	258	3840
63	261	3822
64	266	3830
65	269	3813
66	272	3795
67	275	3778
68	278	3761
69	283	3764
70	286	3751
71	289	3736
72	293	3721
73	296	3716
74	300	3704
75	303	3684
76	306	3671
77	309	3658
78	313	3655
79	316	3642
80	320	3633
81	323	3618
82	326	3605
83	331	3610
84	334	3599
85	337	3588
86	340	3577
87	343	3563
88	347	3556
89	350	3540
90	352	3524
91	355	3507
92	357	3490
93	361	3482
94	365	3477
95	368	3468
96	371	3461
97	375	3454
98	380	3464
99	384	3464
100	388	3455
101	390	3440
102	394	3437
103	397	3422
104	399	3409
105	403	3400
106	405	3386
107	410	3393
108	413	3380
109	416	3367
110	418	3354
111	421	3342
112	424	3331
113	427	3325
114	430	3313
115	433	3301
116	436	3295
117	439	3285
118	443	3281
119	446	3277
120	449	3268
121	452	3258
122	455	3247
123	460	3251
124	462	3240
125	465	3229
126	468	3219
127	471	3212
128	475	3209
129	478	3200
130	480	3190
131	483	3181
132	486	3171
133	489	3164
134	492	3156
135	495	3147
136	498	3138
137	501	3129
138	504	3126
139	509	3127
140	512	3122
141	515	3112
142	518	3107
143	522	3105
144	525	3100
145	529	3094
146	532	3088
147	535	3083
148	539	3080
149	543	3077
150	546	3070
151	548	3061
152	551	3053
153	555	3050
154	558	3043
155	561	3035
156	563	3027
157	566	3019
158	569	3010
159	573	3008
160	576	3003
161	579	2996
162	582	2989
163	584	2981
164	588	2977
165	591	2970
166	594	2962
167	596	2955
168	599	2948
169	603	2945
170	606	2938
171	608	2930
172	611	2923
173	614	2915
174	616	2907
175	620	2904
176	623	2897
177	625	2889
